,date,mob_total,new_confirmed,new_deceased,population,covid_severity
240,2020-10-12,-7232.0,309781.0,4751.0,7756777743.0,4.606178130118946e-05
241,2020-10-13,-6236.0,359653.0,5109.0,7756777743.0,5.295278704751719e-05
242,2020-10-14,-6088.0,403273.0,6008.0,7749280755.0,5.9793033011616574e-05
243,2020-10-15,-6227.0,422505.0,5934.0,7756777743.0,6.21192221776413e-05
244,2020-10-16,-6127.0,424359.0,6262.0,7756777743.0,6.278109495137561e-05
245,2020-10-17,-6293.0,371448.0,5314.0,7756777743.0,5.4737677688801094e-05
246,2020-10-18,-6898.0,316275.0,5063.0,7756777743.0,4.7301213487921385e-05
247,2020-10-19,-6727.0,394199.0,5742.0,7756777743.0,5.822250101307305e-05
248,2020-10-20,-6796.0,437026.0,6474.0,7756777743.0,6.468742777280321e-05
249,2020-10-21,-6294.0,476533.0,6729.0,7756777743.0,7.010939568183009e-05
250,2020-10-22,-5607.0,496742.0,6577.0,7756777743.0,7.251877243841767e-05
251,2020-10-23,-5933.0,494623.0,6401.0,7756777743.0,7.201869365202978e-05
252,2020-10-24,-5316.0,447227.0,6153.0,7756777743.0,6.55887040800055e-05
253,2020-10-25,-6226.0,385816.0,5844.0,7756777743.0,5.727326664747006e-05
254,2020-10-26,-6201.0,456544.0,6295.0,7756777743.0,6.697291287852232e-05
255,2020-10-27,-5967.0,519540.0,7186.0,7756777743.0,7.62429992961576e-05
256,2020-10-28,-6565.0,542108.0,7524.0,7756777743.0,7.958820278911787e-05
257,2020-10-29,-7885.0,552975.0,7525.0,7756777743.0,8.099046031929086e-05
258,2020-10-30,-7639.0,554034.0,7286.0,7756777743.0,8.081886844904537e-05
259,2020-10-31,-6602.0,470097.0,7224.0,7756777743.0,6.991782128725098e-05
260,2020-11-01,-8573.0,420222.0,6669.0,7756777743.0,6.277245734408302e-05
261,2020-11-02,-8917.0,507463.0,7404.0,7756777743.0,7.496708288757784e-05
262,2020-11-03,-7505.0,556226.0,8757.0,7756777743.0,8.299786603799303e-05
263,2020-11-04,-8163.0,590896.0,9094.0,7756777743.0,8.790196426799952e-05
264,2020-11-05,-7946.0,624277.0,9041.0,7756777743.0,9.213709915112106e-05
265,2020-11-06,-8185.0,582451.0,8601.0,7756777743.0,8.617766579727564e-05
266,2020-11-07,-7087.0,583105.0,7953.0,7756777743.0,8.542658072135508e-05
267,2020-11-08,-8229.0,470858.0,7425.0,7756777743.0,7.027505725453143e-05
268,2020-11-09,-8221.0,532825.0,8539.0,7756777743.0,7.969997600587433e-05
269,2020-11-10,-7685.0,605428.0,9317.0,7756777743.0,9.006291312529103e-05
270,2020-11-11,-8927.0,646210.0,9593.0,7756777743.0,9.56763265093852e-05
271,2020-11-12,-8523.0,639345.0,10046.0,7756777743.0,9.537529944926256e-05
272,2020-11-13,-8192.0,628519.0,9369.0,7756777743.0,9.310683171910499e-05
273,2020-11-14,-8291.0,559389.0,9926.0,7756777743.0,8.491270754720141e-05
274,2020-11-15,-9639.0,480665.0,8313.0,7756777743.0,7.268417617209533e-05
275,2020-11-16,-9177.0,531134.0,8978.0,7756777743.0,8.004792976830301e-05
276,2020-11-17,-9236.0,647501.0,10747.0,7756777743.0,9.733049276567366e-05
277,2020-11-18,-9200.0,636633.0,11257.0,7756777743.0,9.658688502143924e-05
278,2020-11-19,-9449.0,649984.0,11026.0,7756777743.0,9.801028535155233e-05
279,2020-11-20,-9099.0,645972.0,10518.0,7756777743.0,9.683814914999557e-05
280,2020-11-21,-8787.0,558126.0,10110.0,7756777743.0,8.498709410552722e-05
281,2020-11-22,-10227.0,469156.0,9226.0,7756777743.0,7.237747665345218e-05
282,2020-11-23,-9015.0,524821.0,10260.0,7756777743.0,8.088680903177968e-05
283,2020-11-24,-8553.0,593320.0,11406.0,7756777743.0,9.119508427818054e-05
284,2020-11-25,-8198.0,644412.0,11685.0,7756777743.0,9.814152541459509e-05
285,2020-11-26,-8363.0,595955.0,11116.0,7756777743.0,9.116092060754563e-05
286,2020-11-27,-7694.0,592521.0,10556.0,7756777743.0,8.9996261737675e-05
287,2020-11-28,-7324.0,538916.0,10184.0,7756777743.0,8.260595072203037e-05
288,2020-11-29,-8660.0,463625.0,8818.0,7756777743.0,7.113843122525575e-05
289,2020-11-30,-7659.0,524420.0,10382.0,7756777743.0,8.099239411196831e-05
290,2020-12-01,-7053.0,626358.0,12030.0,7756777743.0,9.625878486383235e-05
291,2020-12-02,-6851.0,661666.0,12169.0,7756777743.0,0.0001009898731089632
292,2020-12-03,-6930.0,669937.0,12815.0,7756777743.0,0.00010288898643772833
293,2020-12-04,-6943.0,661005.0,11458.0,7756777743.0,9.998803958253364e-05
294,2020-12-05,-6350.0,581954.0,10845.0,7756777743.0,8.900654664535745e-05
295,2020-12-06,-7597.0,501669.0,9168.0,7756777743.0,7.649426342471393e-05
296,2020-12-07,-7351.0,554680.0,10713.0,7756777743.0,8.532022212409547e-05
297,2020-12-08,-8210.0,662601.0,11980.0,7756777743.0,0.00010086675497516572
298,2020-12-09,-7154.0,680454.0,12874.0,7756777743.0,0.00010432089545562219
299,2020-12-10,-5958.0,668808.0,12589.0,7756777743.0,0.00010245207821213706
300,2020-12-11,-6104.0,693101.0,12472.0,7756777743.0,0.00010543308408417807
301,2020-12-12,-5416.0,597939.0,11399.0,7756777743.0,9.178153913749441e-05
302,2020-12-13,-5986.0,503124.0,9617.0,7756777743.0,7.726068992254224e-05
303,2020-12-14,-5516.0,585489.0,11011.0,7756777743.0,8.967628350931338e-05
304,2020-12-15,-4644.0,654128.0,13039.0,7756777743.0,0.00010113967758170946
305,2020-12-16,-4716.0,733990.0,13233.0,7756777743.0,0.00011168555148841267
306,2020-12-17,-4517.0,730248.0,13425.0,7756777743.0,0.00011145066013785874
307,2020-12-18,-4768.0,689659.0,12294.0,7756777743.0,0.00010475986639340273
308,2020-12-19,-3802.0,588577.0,11730.0,7756777743.0,9.100131825190032e-05
309,2020-12-20,-3242.0,514668.0,10015.0,7756777743.0,7.926203642418841e-05
310,2020-12-21,-2952.0,582798.0,11511.0,7756777743.0,8.997395866212844e-05
311,2020-12-22,-2074.0,668171.0,13164.0,7756777743.0,0.00010311124367612295
312,2020-12-23,-616.0,679739.0,12419.0,7756777743.0,0.00010364213422583816
313,2020-12-24,-4228.0,612268.0,11504.0,7756777743.0,9.376419230992526e-05
314,2020-12-25,-21484.0,453323.0,9949.0,7756777743.0,7.126838209318021e-05
